SKU;Produto;Fornecedor;Preco;Estoque
DAI-ECO9;Daikin EcoSwing 9.000 BTU Split Inverter;Adias;;
DAI-ECO12;Daikin EcoSwing 12.000 BTU Split Inverter;Adias;;
DAI-MULTI32;Daikin Multi Split 32.000 BTU;Adias;;
DAI-FTXP12;Daikin FTXP35KV 12.000 BTU Multi Split;Adias;;
LG-DI9;LG Dual Inverter 9.000 BTU Split;Adias;;
LG-S4Q12;LG S4-Q12JA31 12.000 BTU Split;Adias;;
SAM-WF9;Samsung WindFree 9.000 BTU Inverter;Adias;;
SAM-AR12;Samsung AR12TSEABWK 12.000 BTU Inverter;Adias;;
MID-XS12;Midea Xtreme Save 12.000 BTU Split;Adias;;
MID-9;Midea 42AGVCC09M5 9.000 BTU Split;Adias;;
GRE-GTOP9;Gree GTop 9.000 BTU Split;Adias;;
GRE-PRIME36;Gree G-Prime 36.000 BTU Piso Teto;Adias;;
GRE-TOP18;Gree G-Top 18.000 BTU Piso Teto;Adias;;
CAR-XP12;Carrier XPower 12.000 BTU Split;Adias;;
HIS-HW12;Hisense Hi-Wall Inverter 12.000 BTU;Adias;;
FUJ-INV9;Fujitsu Inverter 9.000 BTU Split;Adias;;
MIT-HR12;Mitsubishi Electric MSZ-HR 12.000 BTU;Adias;;
SPR-AV9;Springer AirVolution 9.000 BTU Split;Adias;;
ELG-EP12;Elgin Eco Power 12.000 BTU Split;Adias;;
ELG-CAS24;Elgin Cassete 360 24.000 BTU;Adias;;
HIT-AH12;Hitachi Air Home 600 12.000 BTU;Adias;;
PHI-PORT12;Philco Portatil 12.000 BTU;Adias;;
