SKU;Produto;Fornecedor;Preco;Estoque
DAI-ECO9;Daikin EcoSwing 9.000 BTU Split Inverter;Leveros;;
DAI-ECO12;Daikin EcoSwing 12.000 BTU Split Inverter;Leveros;;
DAI-MULTI32;Daikin Multi Split 32.000 BTU;Leveros;;
DAI-FTXP12;Daikin FTXP35KV 12.000 BTU Multi Split;Leveros;;
LG-DI9;LG Dual Inverter 9.000 BTU Split;Leveros;;
LG-S4Q12;LG S4-Q12JA31 12.000 BTU Split;Leveros;;
SAM-WF9;Samsung WindFree 9.000 BTU Inverter;Leveros;;
SAM-AR12;Samsung AR12TSEABWK 12.000 BTU Inverter;Leveros;;
MID-XS12;Midea Xtreme Save 12.000 BTU Split;Leveros;;
MID-9;Midea 42AGVCC09M5 9.000 BTU Split;Leveros;;
GRE-GTOP9;Gree GTop 9.000 BTU Split;Leveros;;
GRE-PRIME36;Gree G-Prime 36.000 BTU Piso Teto;Leveros;;
GRE-TOP18;Gree G-Top 18.000 BTU Piso Teto;Leveros;;
CAR-XP12;Carrier XPower 12.000 BTU Split;Leveros;;
HIS-HW12;Hisense Hi-Wall Inverter 12.000 BTU;Leveros;;
FUJ-INV9;Fujitsu Inverter 9.000 BTU Split;Leveros;;
MIT-HR12;Mitsubishi Electric MSZ-HR 12.000 BTU;Leveros;;
SPR-AV9;Springer AirVolution 9.000 BTU Split;Leveros;;
ELG-EP12;Elgin Eco Power 12.000 BTU Split;Leveros;;
ELG-CAS24;Elgin Cassete 360 24.000 BTU;Leveros;;
HIT-AH12;Hitachi Air Home 600 12.000 BTU;Leveros;;
PHI-PORT12;Philco Portatil 12.000 BTU;Leveros;;
